date,home_team,away_team,home_score,away_score,home_won
2023-11-30,Philadelphia 76ers,Houston Rockets,94,115,False
2023-11-30,Boston Celtics,Orlando Magic,110,107,True
2023-11-30,Portland Trail Blazers,Boston Celtics,102,122,False
2023-11-30,Utah Jazz,Milwaukee Bucks,107,108,False
2023-11-30,New York Knicks,Brooklyn Nets,114,93,True
2023-12-01,Indiana Pacers,Portland Trail Blazers,107,105,True
2023-12-01,Oklahoma City Thunder,Detroit Pistons,99,93,True
2023-12-01,Brooklyn Nets,Miami Heat,117,109,True
2023-12-01,Charlotte Hornets,San Antonio Spurs,120,119,True
2023-12-01,Memphis Grizzlies,New York Knicks,126,119,True
2023-12-01,Houston Rockets,Boston Celtics,107,87,True
2023-12-01,Miami Heat,Atlanta Hawks,125,107,True
2023-12-02,New Orleans Pelicans,Milwaukee Bucks,85,115,False
2023-12-02,Washington Wizards,Denver Nuggets,101,109,False
2023-12-02,Indiana Pacers,Houston Rockets,97,123,False
2023-12-02,LA Clippers,Minnesota Timberwolves,111,110,True
2023-12-02,New York Knicks,Toronto Raptors,125,98,True
2023-12-02,Denver Nuggets,Minnesota Timberwolves,136,110,True
2023-12-02,Houston Rockets,Denver Nuggets,120,106,True
2023-12-03,Detroit Pistons,Brooklyn Nets,107,118,False
2023-12-03,Indiana Pacers,LA Clippers,92,100,False
2023-12-03,Memphis Grizzlies,New Orleans Pelicans,92,123,False
2023-12-03,Milwaukee Bucks,Utah Jazz,141,135,True
2023-12-03,Denver Nuggets,Orlando Magic,124,85,True
2023-12-03,New York Knicks,Golden State Warriors,115,109,True
2023-12-03,Chicago Bulls,Washington Wizards,117,113,True
2023-12-03,Sacramento Kings,Brooklyn Nets,119,92,True
2023-12-03,Minnesota Timberwolves,Dallas Mavericks,133,140,False
2023-12-03,Portland Trail Blazers,Orlando Magic,123,102,True
2023-12-04,Philadelphia 76ers,Phoenix Suns,119,108,True
2023-12-04,Oklahoma City Thunder,Indiana Pacers,112,94,True
2023-12-04,Dallas Mavericks,Phoenix Suns,93,121,False
2023-12-04,Golden State Warriors,Houston Rockets,116,107,True
2023-12-04,Miami Heat,Denver Nuggets,110,107,True
2023-12-05,Houston Rockets,LA Clippers,118,107,True
2023-12-05,Boston Celtics,Chicago Bulls,108,92,True
2023-12-05,Memphis Grizzlies,Washington Wizards,85,138,False
2023-12-05,Detroit Pistons,New Orleans Pelicans,97,85,True
2023-12-05,Brooklyn Nets,Oklahoma City Thunder,99,111,False
2023-12-05,LA Lakers,Detroit Pistons,130,105,True
2023-12-06,Miami Heat,New York Knicks,107,132,False
2023-12-06,Charlotte Hornets,Phoenix Suns,102,117,False
2023-12-06,LA Lakers,Miami Heat,106,134,False
2023-12-06,Cleveland Cavaliers,Sacramento Kings,114,90,True
2023-12-06,New York Knicks,Dallas Mavericks,116,113,True
2023-12-06,Memphis Grizzlies,Washington Wizards,127,95,True
2023-12-07,Houston Rockets,Golden State Warriors,118,108,True
2023-12-07,Memphis Grizzlies,Charlotte Hornets,117,109,True
2023-12-07,Orlando Magic,Miami Heat,107,115,False
2023-12-07,Utah Jazz,Cleveland Cavaliers,100,122,False
2023-12-07,Portland Trail Blazers,Detroit Pistons,124,105,True
2023-12-07,Indiana Pacers,New York Knicks,101,107,False
2023-12-07,Memphis Grizzlies,Boston Celtics,122,121,True
2023-12-07,Denver Nuggets,Milwaukee Bucks,104,118,False
2023-12-07,New Orleans Pelicans,Philadelphia 76ers,127,116,True
2023-12-07,Denver Nuggets,Memphis Grizzlies,124,119,True
2023-12-07,Dallas Mavericks,Memphis Grizzlies,96,118,False
2023-12-07,Brooklyn Nets,Phoenix Suns,109,114,False
2023-12-07,LA Lakers,Oklahoma City Thunder,100,124,False
2023-12-08,Philadelphia 76ers,Atlanta Hawks,118,117,True
2023-12-08,Chicago Bulls,Indiana Pacers,112,110,True
2023-12-08,Golden State Warriors,Memphis Grizzlies,122,117,True
2023-12-08,Chicago Bulls,Miami Heat,99,102,False
2023-12-08,Atlanta Hawks,Detroit Pistons,129,130,False
2023-12-09,New York Knicks,Golden State Warriors,110,101,True
2023-12-09,Toronto Raptors,New Orleans Pelicans,129,89,True
2023-12-09,Memphis Grizzlies,San Antonio Spurs,98,114,False
2023-12-09,San Antonio Spurs,Philadelphia 76ers,89,91,False
2023-12-09,Sacramento Kings,Memphis Grizzlies,101,100,True
2023-12-09,LA Clippers,Minnesota Timberwolves,113,114,False
2023-12-10,Cleveland Cavaliers,LA Clippers,116,113,True
2023-12-10,Philadelphia 76ers,Detroit Pistons,120,113,True
2023-12-10,Chicago Bulls,Golden State Warriors,111,115,False
2023-12-10,Cleveland Cavaliers,Chicago Bulls,130,125,True
2023-12-10,Miami Heat,Sacramento Kings,117,106,True
2023-12-10,Memphis Grizzlies,Oklahoma City Thunder,121,99,True
2023-12-10,Atlanta Hawks,Utah Jazz,116,99,True
2023-12-10,Cleveland Cavaliers,Chicago Bulls,132,125,True
2023-12-10,New Orleans Pelicans,Milwaukee Bucks,106,115,False
2023-12-11,Denver Nuggets,Utah Jazz,125,94,True
2023-12-11,Oklahoma City Thunder,Detroit Pistons,118,113,True
2023-12-11,Orlando Magic,Brooklyn Nets,120,105,True
2023-12-11,Oklahoma City Thunder,New York Knicks,104,122,False
2023-12-11,New Orleans Pelicans,Boston Celtics,112,126,False
2023-12-11,Atlanta Hawks,Dallas Mavericks,90,107,False
2023-12-11,Houston Rockets,Orlando Magic,122,86,True
2023-12-12,Milwaukee Bucks,Denver Nuggets,101,111,False
2023-12-12,Oklahoma City Thunder,Miami Heat,115,111,True
2023-12-12,Toronto Raptors,LA Clippers,103,106,False
2023-12-12,Golden State Warriors,Indiana Pacers,112,102,True
2023-12-12,Cleveland Cavaliers,Milwaukee Bucks,108,118,False
2023-12-12,Houston Rockets,Golden State Warriors,109,102,True
2023-12-12,Memphis Grizzlies,Sacramento Kings,121,115,True
2023-12-12,Milwaukee Bucks,Toronto Raptors,103,100,True
2023-12-12,Orlando Magic,Oklahoma City Thunder,112,106,True
2023-12-12,LA Lakers,Orlando Magic,119,112,True
2023-12-12,Sacramento Kings,Houston Rockets,129,103,True
2023-12-12,San Antonio Spurs,Sacramento Kings,122,114,True
2023-12-12,Golden State Warriors,Orlando Magic,110,107,True
2023-12-12,Washington Wizards,LA Clippers,110,113,False
2023-12-13,Portland Trail Blazers,Minnesota Timberwolves,85,127,False
2023-12-13,Miami Heat,Boston Celtics,101,106,False
2023-12-13,Miami Heat,Boston Celtics,124,102,True
2023-12-13,Atlanta Hawks,Houston Rockets,117,130,False
2023-12-13,Minnesota Timberwolves,Toronto Raptors,101,85,True
2023-12-13,LA Lakers,Houston Rockets,116,113,True
2023-12-13,Philadelphia 76ers,Denver Nuggets,119,111,True
2023-12-13,Philadelphia 76ers,Sacramento Kings,128,97,True
2023-12-13,Dallas Mavericks,Orlando Magic,114,109,True
2023-12-14,Detroit Pistons,Cleveland Cavaliers,103,100,True
2023-12-14,Washington Wizards,Detroit Pistons,123,129,False
2023-12-14,Miami Heat,Utah Jazz,113,104,True
2023-12-14,Miami Heat,Memphis Grizzlies,127,99,True
2023-12-14,Memphis Grizzlies,LA Clippers,127,94,True
2023-12-14,Dallas Mavericks,Toronto Raptors,114,103,True
2023-12-14,Washington Wizards,Houston Rockets,132,125,True
2023-12-14,Atlanta Hawks,Houston Rockets,123,115,True
2023-12-14,Utah Jazz,Boston Celtics,131,107,True
2023-12-14,Utah Jazz,Atlanta Hawks,129,90,True
2023-12-15,Philadelphia 76ers,Dallas Mavericks,117,115,True
2023-12-15,Houston Rockets,Charlotte Hornets,114,131,False
2023-12-15,LA Lakers,Memphis Grizzlies,115,114,True
2023-12-15,Indiana Pacers,Sacramento Kings,98,97,True
2023-12-15,Atlanta Hawks,Detroit Pistons,103,93,True
2023-12-15,LA Clippers,Chicago Bulls,120,85,True
2023-12-15,Denver Nuggets,Cleveland Cavaliers,114,107,True
2023-12-15,Sacramento Kings,Cleveland Cavaliers,93,109,False
2023-12-15,Washington Wizards,Houston Rockets,114,136,False
2023-12-16,LA Lakers,Boston Celtics,111,118,False
2023-12-16,Milwaukee Bucks,New Orleans Pelicans,115,111,True
2023-12-16,New Orleans Pelicans,Utah Jazz,103,100,True
2023-12-16,New York Knicks,Utah Jazz,127,126,True
2023-12-16,Houston Rockets,Toronto Raptors,120,97,True
2023-12-16,Sacramento Kings,Chicago Bulls,97,123,False
2023-12-16,Boston Celtics,Philadelphia 76ers,124,111,True
2023-12-16,San Antonio Spurs,Cleveland Cavaliers,95,102,False
2023-12-16,Toronto Raptors,Milwaukee Bucks,101,109,False
2023-12-16,Portland Trail Blazers,Memphis Grizzlies,107,115,False
2023-12-16,LA Lakers,Washington Wizards,122,118,True
2023-12-16,New Orleans Pelicans,LA Lakers,123,104,True
2023-12-17,Indiana Pacers,Portland Trail Blazers,109,105,True
2023-12-17,Oklahoma City Thunder,San Antonio Spurs,120,90,True
2023-12-17,Cleveland Cavaliers,Dallas Mavericks,102,126,False
2023-12-17,Charlotte Hornets,Golden State Warriors,98,106,False
2023-12-17,Dallas Mavericks,Golden State Warriors,108,119,False
2023-12-17,Denver Nuggets,Minnesota Timberwolves,113,98,True
2023-12-17,Memphis Grizzlies,Brooklyn Nets,121,109,True
2023-12-17,Miami Heat,Golden State Warriors,129,101,True
2023-12-17,Milwaukee Bucks,Chicago Bulls,131,128,True
2023-12-17,Miami Heat,Philadelphia 76ers,95,116,False
2023-12-17,Atlanta Hawks,Philadelphia 76ers,97,110,False
2023-12-17,Toronto Raptors,Atlanta Hawks,109,105,True
2023-12-17,Indiana Pacers,New Orleans Pelicans,130,97,True
2023-12-17,New Orleans Pelicans,Miami Heat,97,103,False
2023-12-18,Chicago Bulls,Cleveland Cavaliers,110,114,False
2023-12-18,Brooklyn Nets,New Orleans Pelicans,109,96,True
2023-12-18,Portland Trail Blazers,Boston Celtics,118,111,True
2023-12-18,Toronto Raptors,Washington Wizards,115,113,True
2023-12-18,Milwaukee Bucks,Indiana Pacers,109,135,False
2023-12-18,Minnesota Timberwolves,Chicago Bulls,113,108,True
2023-12-18,Indiana Pacers,Dallas Mavericks,88,117,False
2023-12-18,Washington Wizards,Chicago Bulls,91,121,False
2023-12-19,Denver Nuggets,Utah Jazz,107,106,True
2023-12-19,Chicago Bulls,LA Clippers,101,114,False
2023-12-19,San Antonio Spurs,Detroit Pistons,110,100,True
2023-12-19,Brooklyn Nets,Sacramento Kings,104,95,True
2023-12-19,New York Knicks,San Antonio Spurs,114,109,True
2023-12-19,Indiana Pacers,New York Knicks,114,108,True
2023-12-19,New York Knicks,San Antonio Spurs,125,106,True
2023-12-19,Detroit Pistons,Golden State Warriors,113,115,False
2023-12-19,New York Knicks,LA Lakers,114,106,True
2023-12-19,New Orleans Pelicans,New York Knicks,115,121,False
2023-12-19,Atlanta Hawks,Phoenix Suns,96,123,False
2023-12-19,Orlando Magic,Indiana Pacers,110,102,True
2023-12-19,Portland Trail Blazers,Dallas Mavericks,100,123,False
2023-12-20,Charlotte Hornets,LA Clippers,101,138,False
2023-12-20,Milwaukee Bucks,Boston Celtics,104,124,False
2023-12-20,Washington Wizards,Atlanta Hawks,116,97,True
2023-12-20,Philadelphia 76ers,Portland Trail Blazers,133,104,True
2023-12-20,Minnesota Timberwolves,Miami Heat,117,122,False
2023-12-21,Miami Heat,Dallas Mavericks,111,95,True
2023-12-21,Charlotte Hornets,Milwaukee Bucks,109,112,False
2023-12-21,Boston Celtics,Memphis Grizzlies,114,92,True
2023-12-21,Phoenix Suns,Atlanta Hawks,100,120,False
2023-12-21,Utah Jazz,Phoenix Suns,94,108,False
2023-12-21,Atlanta Hawks,Charlotte Hornets,110,118,False
2023-12-21,Atlanta Hawks,Brooklyn Nets,105,112,False
2023-12-22,Washington Wizards,Indiana Pacers,112,85,True
2023-12-22,Sacramento Kings,Memphis Grizzlies,107,109,False
2023-12-22,Atlanta Hawks,LA Lakers,121,116,True
2023-12-22,Milwaukee Bucks,Toronto Raptors,124,102,True
2023-12-22,Houston Rockets,Miami Heat,106,108,False
2023-12-22,Golden State Warriors,Chicago Bulls,125,116,True
2023-12-22,Atlanta Hawks,Utah Jazz,113,103,True
2023-12-22,Minnesota Timberwolves,New York Knicks,120,115,True
2023-12-22,Toronto Raptors,Denver Nuggets,111,120,False
2023-12-22,Toronto Raptors,Oklahoma City Thunder,104,112,False
2023-12-23,Sacramento Kings,LA Clippers,122,129,False
2023-12-23,LA Lakers,Boston Celtics,108,106,True
2023-12-23,Cleveland Cavaliers,Minnesota Timberwolves,111,106,True
2023-12-23,Washington Wizards,Dallas Mavericks,113,126,False
2023-12-23,Houston Rockets,Sacramento Kings,111,101,True
2023-12-24,Charlotte Hornets,Cleveland Cavaliers,113,128,False
2023-12-24,Orlando Magic,LA Clippers,111,91,True
2023-12-24,Indiana Pacers,Phoenix Suns,119,125,False
2023-12-24,Denver Nuggets,New Orleans Pelicans,119,113,True
2023-12-24,San Antonio Spurs,Detroit Pistons,92,103,False
2023-12-24,Phoenix Suns,Portland Trail Blazers,113,99,True
2023-12-24,Golden State Warriors,Chicago Bulls,108,104,True
2023-12-24,Cleveland Cavaliers,Washington Wizards,117,109,True
2023-12-24,Memphis Grizzlies,Toronto Raptors,91,126,False
2023-12-24,New York Knicks,LA Clippers,119,100,True
2023-12-24,Atlanta Hawks,Utah Jazz,122,120,True
2023-12-24,Boston Celtics,Milwaukee Bucks,114,122,False
2023-12-24,New York Knicks,Portland Trail Blazers,130,113,True
2023-12-25,Houston Rockets,Atlanta Hawks,124,120,True
2023-12-25,Memphis Grizzlies,Boston Celtics,96,114,False
2023-12-25,LA Lakers,Cleveland Cavaliers,111,102,True
2023-12-25,San Antonio Spurs,Sacramento Kings,108,110,False
2023-12-25,Indiana Pacers,LA Lakers,101,113,False
2023-12-25,Chicago Bulls,Charlotte Hornets,113,111,True
2023-12-25,Phoenix Suns,Cleveland Cavaliers,111,97,True
2023-12-25,Chicago Bulls,Charlotte Hornets,116,110,True
2023-12-25,New Orleans Pelicans,LA Lakers,107,104,True
2023-12-25,Phoenix Suns,New Orleans Pelicans,106,104,True
2023-12-25,Atlanta Hawks,Boston Celtics,117,88,True
2023-12-26,Orlando Magic,Houston Rockets,92,108,False
2023-12-26,Portland Trail Blazers,San Antonio Spurs,105,95,True
2023-12-26,Brooklyn Nets,Utah Jazz,111,117,False
2023-12-26,Utah Jazz,Portland Trail Blazers,120,106,True
2023-12-26,Dallas Mavericks,Sacramento Kings,122,93,True
2023-12-26,Milwaukee Bucks,Golden State Warriors,124,116,True
2023-12-26,Milwaukee Bucks,Boston Celtics,133,115,True
2023-12-26,LA Clippers,Cleveland Cavaliers,121,98,True
2023-12-26,Minnesota Timberwolves,Miami Heat,119,107,True
2023-12-27,Cleveland Cavaliers,Boston Celtics,107,119,False
2023-12-27,Charlotte Hornets,Toronto Raptors,130,124,True
2023-12-27,Oklahoma City Thunder,San Antonio Spurs,109,106,True
2023-12-27,Phoenix Suns,Denver Nuggets,131,92,True
2023-12-27,Philadelphia 76ers,Charlotte Hornets,113,92,True
2023-12-27,Miami Heat,Chicago Bulls,127,107,True
2023-12-27,Phoenix Suns,Portland Trail Blazers,117,112,True
2023-12-27,Utah Jazz,Milwaukee Bucks,118,129,False
2023-12-27,Milwaukee Bucks,LA Clippers,106,105,True
2023-12-28,Brooklyn Nets,Phoenix Suns,107,125,False
2023-12-28,Cleveland Cavaliers,Golden State Warriors,125,107,True
2023-12-28,Memphis Grizzlies,Oklahoma City Thunder,101,111,False
2023-12-28,Sacramento Kings,Detroit Pistons,126,124,True
2023-12-28,Detroit Pistons,Miami Heat,126,91,True
2023-12-28,Cleveland Cavaliers,Toronto Raptors,116,85,True
2023-12-28,New York Knicks,Detroit Pistons,133,107,True
2023-12-29,Utah Jazz,Houston Rockets,103,120,False
2023-12-29,San Antonio Spurs,Cleveland Cavaliers,136,105,True
2023-12-29,Orlando Magic,Detroit Pistons,110,107,True
2023-12-29,Washington Wizards,New York Knicks,103,118,False
2023-12-29,Memphis Grizzlies,Houston Rockets,114,124,False
2023-12-29,Cleveland Cavaliers,Portland Trail Blazers,124,113,True
2023-12-29,Utah Jazz,Cleveland Cavaliers,114,118,False
2023-12-29,Minnesota Timberwolves,Indiana Pacers,114,112,True
2023-12-29,Miami Heat,Boston Celtics,91,111,False
2023-12-29,LA Clippers,Indiana Pacers,133,108,True
2023-12-29,Philadelphia 76ers,Washington Wizards,116,115,True
2023-12-29,Chicago Bulls,Denver Nuggets,115,119,False
2023-12-29,LA Clippers,Boston Celtics,119,116,True
2023-12-30,Portland Trail Blazers,Cleveland Cavaliers,97,120,False
2023-12-30,Minnesota Timberwolves,Indiana Pacers,113,110,True
2023-12-30,San Antonio Spurs,Memphis Grizzlies,121,113,True
2023-12-30,Phoenix Suns,Milwaukee Bucks,106,115,False
2023-12-30,Milwaukee Bucks,Brooklyn Nets,112,100,True
2023-12-30,Milwaukee Bucks,Indiana Pacers,119,99,True
2023-12-30,Indiana Pacers,Sacramento Kings,92,108,False
2023-12-30,Charlotte Hornets,Phoenix Suns,96,115,False
2023-12-30,Toronto Raptors,Boston Celtics,101,106,False
2023-12-30,Miami Heat,Brooklyn Nets,104,127,False
2023-12-31,Minnesota Timberwolves,Cleveland Cavaliers,123,105,True
2023-12-31,Golden State Warriors,Miami Heat,116,121,False
2023-12-31,LA Clippers,Milwaukee Bucks,112,115,False
2023-12-31,LA Clippers,Philadelphia 76ers,106,99,True
2023-12-31,New York Knicks,Memphis Grizzlies,141,120,True
2023-12-31,Memphis Grizzlies,LA Clippers,131,111,True
2024-01-01,Washington Wizards,Charlotte Hornets,103,100,True
2024-01-01,Houston Rockets,Milwaukee Bucks,104,107,False
2024-01-01,Boston Celtics,Atlanta Hawks,112,105,True
2024-01-01,Memphis Grizzlies,Detroit Pistons,109,96,True
2024-01-01,Brooklyn Nets,New Orleans Pelicans,107,136,False
2024-01-01,Philadelphia 76ers,Charlotte Hornets,111,105,True
2024-01-01,San Antonio Spurs,Cleveland Cavaliers,123,107,True
2024-01-01,San Antonio Spurs,Detroit Pistons,106,128,False
2024-01-01,Denver Nuggets,Portland Trail Blazers,109,102,True
2024-01-01,Orlando Magic,Utah Jazz,123,96,True
2024-01-01,Portland Trail Blazers,Dallas Mavericks,140,99,True
2024-01-01,Boston Celtics,Memphis Grizzlies,119,96,True
2024-01-02,Milwaukee Bucks,New York Knicks,113,110,True
2024-01-02,Portland Trail Blazers,Philadelphia 76ers,91,101,False
2024-01-02,Milwaukee Bucks,Minnesota Timberwolves,125,116,True
2024-01-02,Miami Heat,Charlotte Hornets,129,117,True
2024-01-02,Golden State Warriors,Indiana Pacers,127,100,True
2024-01-02,Boston Celtics,Oklahoma City Thunder,115,94,True
2024-01-02,Brooklyn Nets,Sacramento Kings,101,99,True
2024-01-02,Sacramento Kings,Chicago Bulls,111,115,False
2024-01-02,New York Knicks,Memphis Grizzlies,120,105,True
2024-01-03,Sacramento Kings,Chicago Bulls,131,127,True
2024-01-03,Memphis Grizzlies,Portland Trail Blazers,111,99,True
2024-01-03,Dallas Mavericks,Toronto Raptors,108,103,True
2024-01-03,Golden State Warriors,Milwaukee Bucks,105,112,False
2024-01-03,Portland Trail Blazers,Brooklyn Nets,126,121,True
2024-01-03,Denver Nuggets,Boston Celtics,120,108,True
2024-01-03,Philadelphia 76ers,Indiana Pacers,106,105,True
2024-01-04,Miami Heat,Houston Rockets,126,122,True
2024-01-04,Denver Nuggets,Cleveland Cavaliers,125,98,True
2024-01-04,Brooklyn Nets,Indiana Pacers,92,108,False
2024-01-04,Detroit Pistons,Washington Wizards,118,113,True
2024-01-04,Miami Heat,Minnesota Timberwolves,99,127,False
2024-01-04,Phoenix Suns,Miami Heat,131,93,True
2024-01-04,Dallas Mavericks,Washington Wizards,114,102,True
2024-01-05,Phoenix Suns,Toronto Raptors,115,114,True
2024-01-05,Boston Celtics,Philadelphia 76ers,90,101,False
2024-01-05,Portland Trail Blazers,Philadelphia 76ers,121,110,True
2024-01-05,Miami Heat,Indiana Pacers,103,97,True
2024-01-05,LA Clippers,Brooklyn Nets,128,121,True
2024-01-05,Denver Nuggets,Orlando Magic,118,109,True
2024-01-05,Miami Heat,LA Clippers,117,89,True
2024-01-05,Charlotte Hornets,Milwaukee Bucks,112,126,False
2024-01-05,Memphis Grizzlies,Oklahoma City Thunder,114,116,False
2024-01-05,Oklahoma City Thunder,Toronto Raptors,117,108,True
2024-01-06,Brooklyn Nets,Philadelphia 76ers,100,102,False
2024-01-06,Golden State Warriors,Denver Nuggets,101,114,False
2024-01-06,Indiana Pacers,Portland Trail Blazers,94,111,False
2024-01-06,LA Lakers,Milwaukee Bucks,121,113,True
2024-01-06,Golden State Warriors,Atlanta Hawks,105,103,True
2024-01-07,Minnesota Timberwolves,Golden State Warriors,113,127,False
2024-01-07,Memphis Grizzlies,Miami Heat,98,108,False
2024-01-07,Miami Heat,Memphis Grizzlies,127,108,True
2024-01-07,Houston Rockets,Cleveland Cavaliers,125,98,True
2024-01-07,LA Lakers,Golden State Warriors,109,117,False
2024-01-07,Denver Nuggets,New York Knicks,111,110,True
2024-01-07,Toronto Raptors,Denver Nuggets,110,111,False
2024-01-07,Boston Celtics,Washington Wizards,136,85,True
2024-01-07,Detroit Pistons,Golden State Warriors,98,122,False
2024-01-07,Toronto Raptors,Philadelphia 76ers,109,125,False
2024-01-08,Indiana Pacers,Portland Trail Blazers,114,109,True
2024-01-08,LA Lakers,Golden State Warriors,119,95,True
2024-01-08,LA Clippers,Brooklyn Nets,122,131,False
2024-01-08,Chicago Bulls,Brooklyn Nets,126,95,True
2024-01-08,Orlando Magic,Detroit Pistons,113,95,True
2024-01-08,Miami Heat,Sacramento Kings,88,124,False
2024-01-08,Atlanta Hawks,Milwaukee Bucks,107,109,False
2024-01-08,Houston Rockets,Sacramento Kings,104,96,True
2024-01-08,Dallas Mavericks,Philadelphia 76ers,125,93,True
2024-01-08,Denver Nuggets,Portland Trail Blazers,120,113,True
2024-01-08,Cleveland Cavaliers,Miami Heat,119,112,True
2024-01-08,Houston Rockets,Boston Celtics,104,117,False
2024-01-08,Houston Rockets,Denver Nuggets,87,98,False
2024-01-08,Miami Heat,Toronto Raptors,114,101,True
2024-01-09,Detroit Pistons,New York Knicks,92,126,False
2024-01-09,Detroit Pistons,Indiana Pacers,108,98,True
2024-01-09,Boston Celtics,Milwaukee Bucks,112,104,True
2024-01-09,LA Lakers,Dallas Mavericks,120,113,True
2024-01-09,Chicago Bulls,New Orleans Pelicans,105,89,True
2024-01-09,LA Lakers,San Antonio Spurs,103,93,True
2024-01-09,Miami Heat,Phoenix Suns,97,119,False
2024-01-09,New York Knicks,Minnesota Timberwolves,122,113,True
2024-01-09,Washington Wizards,Indiana Pacers,122,126,False
2024-01-09,Chicago Bulls,Orlando Magic,120,123,False
2024-01-10,Chicago Bulls,Toronto Raptors,109,114,False
2024-01-10,Phoenix Suns,Golden State Warriors,97,85,True
2024-01-10,Dallas Mavericks,Memphis Grizzlies,117,97,True
2024-01-10,Milwaukee Bucks,Philadelphia 76ers,130,122,True
2024-01-10,Dallas Mavericks,Milwaukee Bucks,111,90,True
2024-01-10,New Orleans Pelicans,LA Lakers,104,88,True
2024-01-10,New Orleans Pelicans,LA Clippers,125,95,True
2024-01-10,Toronto Raptors,Houston Rockets,111,115,False
2024-01-10,Orlando Magic,LA Lakers,121,112,True
2024-01-10,Utah Jazz,San Antonio Spurs,99,132,False
2024-01-10,Houston Rockets,Utah Jazz,121,118,True
2024-01-11,Detroit Pistons,Minnesota Timberwolves,95,118,False
2024-01-11,Philadelphia 76ers,Dallas Mavericks,117,101,True
2024-01-11,Miami Heat,Phoenix Suns,121,109,True
2024-01-11,LA Clippers,Miami Heat,123,108,True
2024-01-11,Orlando Magic,New York Knicks,111,117,False
2024-01-11,Golden State Warriors,San Antonio Spurs,99,111,False
2024-01-11,Utah Jazz,San Antonio Spurs,110,120,False
2024-01-11,Minnesota Timberwolves,Sacramento Kings,114,108,True
2024-01-11,Phoenix Suns,Toronto Raptors,124,118,True
2024-01-11,Cleveland Cavaliers,New York Knicks,126,99,True
2024-01-12,Memphis Grizzlies,Detroit Pistons,103,96,True
2024-01-12,Sacramento Kings,Boston Celtics,93,127,False
2024-01-12,Memphis Grizzlies,Portland Trail Blazers,117,105,True
2024-01-12,Brooklyn Nets,Memphis Grizzlies,117,98,True
2024-01-12,New York Knicks,Sacramento Kings,124,100,True
2024-01-12,Charlotte Hornets,Atlanta Hawks,109,110,False
2024-01-12,Cleveland Cavaliers,Brooklyn Nets,99,121,False
2024-01-12,Charlotte Hornets,Golden State Warriors,111,117,False
2024-01-12,Utah Jazz,Denver Nuggets,100,114,False
2024-01-12,Miami Heat,New York Knicks,112,131,False
2024-01-12,Memphis Grizzlies,Golden State Warriors,108,110,False
2024-01-12,Memphis Grizzlies,LA Lakers,107,118,False
2024-01-13,Philadelphia 76ers,Toronto Raptors,98,115,False
2024-01-13,Minnesota Timberwolves,Brooklyn Nets,129,128,True
2024-01-13,Portland Trail Blazers,Milwaukee Bucks,111,85,True
2024-01-13,Memphis Grizzlies,Brooklyn Nets,110,107,True
2024-01-13,Oklahoma City Thunder,Dallas Mavericks,108,104,True
2024-01-14,San Antonio Spurs,Philadelphia 76ers,105,114,False
2024-01-14,New Orleans Pelicans,Cleveland Cavaliers,110,91,True
2024-01-14,Portland Trail Blazers,Cleveland Cavaliers,108,124,False
2024-01-14,Houston Rockets,LA Clippers,128,89,True
2024-01-14,LA Clippers,Boston Celtics,123,114,True
2024-01-14,Houston Rockets,LA Lakers,99,112,False
2024-01-14,Miami Heat,Orlando Magic,125,120,True
2024-01-14,Miami Heat,Houston Rockets,103,99,True
2024-01-14,LA Clippers,Philadelphia 76ers,116,124,False
2024-01-14,Orlando Magic,Utah Jazz,124,90,True
2024-01-14,Philadelphia 76ers,Toronto Raptors,122,99,True
2024-01-14,Boston Celtics,Portland Trail Blazers,124,115,True
2024-01-15,Golden State Warriors,Cleveland Cavaliers,119,96,True
2024-01-15,San Antonio Spurs,Oklahoma City Thunder,111,122,False
2024-01-15,New Orleans Pelicans,Sacramento Kings,97,112,False
2024-01-15,Golden State Warriors,Miami Heat,110,106,True
2024-01-15,Dallas Mavericks,Memphis Grizzlies,110,108,True
2024-01-15,Chicago Bulls,Miami Heat,128,110,True
2024-01-15,LA Clippers,LA Lakers,99,117,False
2024-01-15,Utah Jazz,Dallas Mavericks,120,113,True
2024-01-15,Detroit Pistons,Cleveland Cavaliers,93,117,False
2024-01-15,Denver Nuggets,Sacramento Kings,130,124,True
2024-01-15,Phoenix Suns,Toronto Raptors,129,102,True
2024-01-15,Toronto Raptors,Indiana Pacers,111,103,True
2024-01-16,Charlotte Hornets,Minnesota Timberwolves,105,122,False
2024-01-16,Atlanta Hawks,Houston Rockets,115,114,True
2024-01-16,Memphis Grizzlies,Boston Celtics,101,120,False
2024-01-16,San Antonio Spurs,Oklahoma City Thunder,90,113,False
2024-01-16,Philadelphia 76ers,New York Knicks,113,111,True
2024-01-16,Sacramento Kings,Miami Heat,91,116,False
2024-01-16,Atlanta Hawks,Indiana Pacers,115,121,False
2024-01-16,Philadelphia 76ers,Houston Rockets,124,118,True
2024-01-16,Toronto Raptors,Boston Celtics,105,122,False
2024-01-16,Sacramento Kings,Brooklyn Nets,116,113,True
2024-01-16,LA Clippers,Dallas Mavericks,126,95,True
2024-01-17,New York Knicks,Miami Heat,120,85,True
2024-01-17,Phoenix Suns,Atlanta Hawks,125,96,True
2024-01-17,San Antonio Spurs,LA Lakers,111,109,True
2024-01-17,Chicago Bulls,Utah Jazz,130,85,True
